要素ID,DAOLU_ID,道路名称,几何类型,坐标系,长度（米）,最小经度,最大经度,最小纬度,最大纬度,经纬度坐标点列表
146,DAOLU_2022_146,珈珞路,LineString,EPSG:4326 (WGS84经纬度),467.45,118.759686,118.763623,32.065197,32.067433,"[(118.763623, 32.067433), (118.76257, 32.067429), (118.759686, 32.065197)]"
147,DAOLU_2022_147,赤壁路,LineString,EPSG:4326 (WGS84经纬度),286.29,118.760359,118.762489,32.066954,32.068792,"[(118.762489, 32.068792), (118.760359, 32.066954)]"
148,DAOLU_2022_148,花家桥,LineString,EPSG:4326 (WGS84经纬度),223.95,118.746834,118.749104,32.088518,32.089103,"[(118.749104, 32.089103), (118.748911, 32.089061), (118.748267, 32.088908), (118.746834, 32.088518)]"
149,DAOLU_2022_149,多伦路,LineString,EPSG:4326 (WGS84经纬度),632.79,118.746237,118.748267,32.088908,32.094345,"[(118.748267, 32.088908), (118.747584, 32.09059), (118.747263, 32.091551), (118.746734, 32.093091), (118.746237, 32.094345)]"
150,DAOLU_2022_150,新民路,LineString,EPSG:4326 (WGS84经纬度),1168.36,118.745263,118.754176,32.091116,32.095995,"[(118.745263, 32.091116), (118.747159, 32.091856), (118.747241, 32.091615), (118.749471, 32.092128), (118.749743, 32.092111), (118.750209, 32.09238), (118.751763, 32.093054), (118.752618, 32.093431), (118.753512, 32.093779), (118.754176, 32.093969), (118.753847, 32.094847), (118.753849, 32.095043), (118.754107, 32.095995)]"
151,DAOLU_2022_151,四平路,LineString,EPSG:4326 (WGS84经纬度),259.2,118.752546,118.753512,32.093779,32.095967,"[(118.753512, 32.093779), (118.752546, 32.095967)]"
152,DAOLU_2022_152,金川门外街,LineString,EPSG:4326 (WGS84经纬度),403.12,118.751709,118.75322,32.08963,32.09303,"[(118.75322, 32.08963), (118.751709, 32.09303)]"
153,DAOLU_2022_153,城河南路,LineString,EPSG:4326 (WGS84经纬度),452.47,118.746703,118.748369,32.095033,32.09886,"[(118.748369, 32.095033), (118.746703, 32.09886)]"
154,DAOLU_2022_154,盔头巷辅路1,LineString,EPSG:4326 (WGS84经纬度),242.36,118.777804,118.778867,32.048163,32.04976,"[(118.778867, 32.049704), (118.778228, 32.04976), (118.777955, 32.048591), (118.777804, 32.048163)]"
155,DAOLU_2022_155,盔头巷辅路2,LineString,EPSG:4326 (WGS84经纬度),131.93,118.778228,118.778867,32.04976,32.050482,"[(118.778228, 32.04976), (118.778324, 32.050482), (118.778867, 32.050458)]"
156,DAOLU_2022_156,虹桥路,LineString,EPSG:4326 (WGS84经纬度),351.45,118.762341,118.765893,32.075346,32.075938,"[(118.765893, 32.075938), (118.765467, 32.075613), (118.764714, 32.075534), (118.764054, 32.075405), (118.762341, 32.075346)]"
157,DAOLU_2022_157,西流湾路,LineString,EPSG:4326 (WGS84经纬度),377.52,118.765467,118.766121,32.072331,32.075613,"[(118.765467, 32.075613), (118.766121, 32.072553), (118.765894, 32.072331)]"
158,DAOLU_2022_158,三牌楼东无名路,LineString,EPSG:4326 (WGS84经纬度),440.9,118.757401,118.761878,32.083441,32.084512,"[(118.757401, 32.083441), (118.757806, 32.083623), (118.759755, 32.083983), (118.760115, 32.084128), (118.761878, 32.084512)]"
159,DAOLU_2022_159,龙池庵,LineString,EPSG:4326 (WGS84经纬度),307.54,118.745242,118.748237,32.08655,32.087529,"[(118.745242, 32.08655), (118.746215, 32.086733), (118.747738, 32.087169), (118.748237, 32.087529)]"
160,DAOLU_2022_160,南祖师庵,LineString,EPSG:4326 (WGS84经纬度),298.24,118.747283,118.748661,32.085665,32.088022,"[(118.747283, 32.088022), (118.748522, 32.085678), (118.748661, 32.085665)]"
161,DAOLU_2022_161,戴家巷,LineString,EPSG:4326 (WGS84经纬度),763.53,118.745709,118.74714,32.082099,32.08832,"[(118.745709, 32.08832), (118.746212, 32.08676), (118.746094, 32.085911), (118.746163, 32.085318), (118.746005, 32.085219), (118.746025, 32.084163), (118.746508, 32.084123), (118.746745, 32.083946), (118.746696, 32.083403), (118.746854, 32.082652), (118.74714, 32.082099)]"
162,DAOLU_2022_162,双门楼路,LineString,EPSG:4326 (WGS84经纬度),203.29,118.746736,118.748572,32.083195,32.084074,"[(118.748572, 32.084074), (118.747832, 32.083916), (118.74721, 32.08357), (118.746736, 32.083195)]"
163,DAOLU_2022_163,归云堂巷,LineString,EPSG:4326 (WGS84经纬度),564.33,118.743852,118.746004,32.081102,32.085219,"[(118.746004, 32.085219), (118.744593, 32.084805), (118.744721, 32.084242), (118.744267, 32.082395), (118.743961, 32.081852), (118.743852, 32.081102)]"
164,DAOLU_2022_164,金城路,LineString,EPSG:4326 (WGS84经纬度),302.32,118.742243,118.744623,32.077745,32.079107,"[(118.744623, 32.077745), (118.744208, 32.077814), (118.743843, 32.077784), (118.742855, 32.078061), (118.742243, 32.079107)]"
165,DAOLU_2022_165,镇江路,LineString,EPSG:4326 (WGS84经纬度),369.7,118.747138,118.748724,32.079156,32.082103,"[(118.747138, 32.082103), (118.747264, 32.081096), (118.747732, 32.080622), (118.74801, 32.080022), (118.748724, 32.079156)]"
166,DAOLU_2022_166,橡胶厂路,LineString,EPSG:4326 (WGS84经纬度),452.66,118.750004,118.754042,32.086019,32.087708,"[(118.750004, 32.086019), (118.751702, 32.087372), (118.752295, 32.087204), (118.754042, 32.087708)]"
167,DAOLU_2022_167,洪庙一巷,LineString,EPSG:4326 (WGS84经纬度),435.28,118.758387,118.760125,32.086937,32.090482,"[(118.758387, 32.090482), (118.758654, 32.090058), (118.759829, 32.088419), (118.760125, 32.087698), (118.760125, 32.086937)]"
168,DAOLU_2022_168,洪庙巷,LineString,EPSG:4326 (WGS84经纬度),414.33,118.754959,118.757818,32.08501,32.086106,"[(118.757818, 32.08501), (118.757753, 32.086017), (118.75622, 32.08609), (118.755889, 32.086106), (118.755881, 32.085778), (118.754959, 32.085576)]"
169,DAOLU_2022_169,四川路,LineString,EPSG:4326 (WGS84经纬度),377.94,118.774865,118.778858,32.086811,32.086941,"[(118.778858, 32.086941), (118.775872, 32.086935), (118.774865, 32.086811)]"
170,DAOLU_2022_170,南昌路北无名路,LineString,EPSG:4326 (WGS84经纬度),255.81,118.772808,118.772884,32.083113,32.085419,"[(118.772884, 32.085419), (118.772808, 32.084217), (118.772812, 32.083113)]"
171,DAOLU_2022_171,峨眉岭路南北向,LineString,EPSG:4326 (WGS84经纬度),398.68,118.764477,118.76474,32.044742,32.048308,"[(118.764477, 32.044742), (118.764662, 32.045747), (118.76474, 32.047023), (118.76471, 32.047834), (118.764568, 32.048308)]"
172,DAOLU_2022_172,峨眉岭路东西向,LineString,EPSG:4326 (WGS84经纬度),433.5,118.763099,118.767455,32.047739,32.048771,"[(118.763099, 32.047739), (118.764568, 32.048308), (118.765534, 32.048658), (118.76583, 32.048693), (118.767455, 32.048771)]"
173,DAOLU_2022_173,凤凰东街,LineString,EPSG:4326 (WGS84经纬度),447.67,118.755018,118.758435,32.043168,32.045951,"[(118.758435, 32.043168), (118.758216, 32.043444), (118.757309, 32.044227), (118.756433, 32.044924), (118.7559, 32.045316), (118.755018, 32.045951)]"
174,DAOLU_2022_174,锦绣坊,LineString,EPSG:4326 (WGS84经纬度),395,118.78023,118.784313,32.026845,32.027613,"[(118.784313, 32.026845), (118.781939, 32.027276), (118.78023, 32.027613)]"
175,DAOLU_2022_175,石鼓路,LineString,EPSG:4326 (WGS84经纬度),707.82,118.763285,118.770751,32.043191,32.043691,"[(118.763285, 32.043691), (118.763966, 32.043619), (118.764782, 32.043555), (118.766168, 32.043447), (118.767519, 32.04341), (118.769177, 32.043311), (118.770603, 32.043226), (118.770751, 32.043191)]"
176,DAOLU_2022_176,西长干巷,LineString,EPSG:4326 (WGS84经纬度),1440.5,118.761157,118.775747,32.014168,32.016997,"[(118.775747, 32.014168), (118.774298, 32.014572), (118.772603, 32.015208), (118.771905, 32.015327), (118.770999, 32.015302), (118.769416, 32.015172), (118.768129, 32.015072), (118.767635, 32.015072), (118.767077, 32.015127), (118.761157, 32.016997)]"
177,DAOLU_2022_177,尚书里,LineString,EPSG:4326 (WGS84经纬度),309.67,118.801646,118.804919,32.028526,32.028681,"[(118.801646, 32.028526), (118.802417, 32.028566), (118.802697, 32.02858), (118.803599, 32.028617), (118.804639, 32.028681), (118.804919, 32.028671)]"
178,DAOLU_2022_178,明御河路,LineString,EPSG:4326 (WGS84经纬度),593.23,118.805165,118.81141,32.030527,32.030788,"[(118.805165, 32.030788), (118.808317, 32.030612), (118.810798, 32.030527), (118.81141, 32.030682)]"
179,DAOLU_2022_179,弓箭坊,LineString,EPSG:4326 (WGS84经纬度),205.29,118.774515,118.775153,32.024783,32.026553,"[(118.774515, 32.024783), (118.775153, 32.026553)]"
180,DAOLU_2022_180,大板巷,LineString,EPSG:4326 (WGS84经纬度),20.39,118.777228,118.777291,32.03201,32.032186,"[(118.777228, 32.03201), (118.777291, 32.032186)]"
181,DAOLU_2022_181,大四福巷,LineString,EPSG:4326 (WGS84经纬度),396.42,118.782119,118.782592,32.021522,32.024962,"[(118.782356, 32.024962), (118.782334, 32.02461), (118.78242, 32.024319), (118.78249, 32.024132), (118.782592, 32.023877), (118.782592, 32.023696), (118.782296, 32.023082), (118.782211, 32.022827), (118.782136, 32.022672), (118.782146, 32.022527), (118.782157, 32.022363), (118.782248, 32.022217), (118.782232, 32.022004), (118.782119, 32.021522)]"
182,DAOLU_2022_182,评事街,LineString,EPSG:4326 (WGS84经纬度),601.2,118.773719,118.775177,32.027069,32.032336,"[(118.773719, 32.027069), (118.773784, 32.027256), (118.773882, 32.027718), (118.774012, 32.028183), (118.774111, 32.028639), (118.774225, 32.029103), (118.774357, 32.029714), (118.774369, 32.029758), (118.774461, 32.030189), (118.774763, 32.031356), (118.774861, 32.031606), (118.775177, 32.032336)]"
183,DAOLU_2022_183,标营,LineString,EPSG:4326 (WGS84经纬度),423.43,118.811487,118.815948,32.030945,32.031325,"[(118.811487, 32.031325), (118.815948, 32.030945)]"
184,DAOLU_2022_184,七家湾,LineString,EPSG:4326 (WGS84经纬度),353.49,118.769137,118.772567,32.032244,32.033518,"[(118.772567, 32.032244), (118.772457, 32.032288), (118.771423, 32.0327), (118.771201, 32.03278), (118.769137, 32.033518)]"
185,DAOLU_2022_185,大板巷,LineString,EPSG:4326 (WGS84经纬度),352.01,118.775929,118.777101,32.028697,32.031711,"[(118.775929, 32.028697), (118.776158, 32.029287), (118.77632, 32.029703), (118.776568, 32.030343), (118.776701, 32.030711), (118.777101, 32.031711)]"
186,DAOLU_2022_186,小火瓦巷,LineString,EPSG:4326 (WGS84经纬度),268.87,118.783253,118.785985,32.032235,32.032915,"[(118.785985, 32.032235), (118.785519, 32.032357), (118.784872, 32.032516), (118.784252, 32.032669), (118.783253, 32.032915)]"
187,DAOLU_2022_187,张府园,LineString,EPSG:4326 (WGS84经纬度),281.36,118.775935,118.778836,32.033618,32.034179,"[(118.778836, 32.033618), (118.778717, 32.03363), (118.778289, 32.033674), (118.777415, 32.033856), (118.776766, 32.033992), (118.775935, 32.034179)]"
188,DAOLU_2022_188,评事街,LineString,EPSG:4326 (WGS84经纬度),29.48,118.775276,118.7754,32.032538,32.032782,"[(118.775276, 32.032538), (118.7754, 32.032782)]"
189,DAOLU_2022_189,南捕厅,LineString,EPSG:4326 (WGS84经纬度),184.55,118.775929,118.777803,32.028226,32.028697,"[(118.777803, 32.028226), (118.777711, 32.028248), (118.776751, 32.028488), (118.775929, 32.028697)]"
190,DAOLU_2022_190,来凤里,LineString,EPSG:4326 (WGS84经纬度),136.1,118.765275,118.766689,32.023304,32.023541,"[(118.765275, 32.023541), (118.766689, 32.023304)]"
191,DAOLU_2022_191,千章巷,LineString,EPSG:4326 (WGS84经纬度),167.19,118.772676,118.774369,32.029758,32.030193,"[(118.774369, 32.029758), (118.773728, 32.029888), (118.773338, 32.029994), (118.772676, 32.030193)]"
192,DAOLU_2022_192,紫苜路,LineString,EPSG:4326 (WGS84经纬度),380.9,118.821612,118.825525,32.023896,32.024587,"[(118.825525, 32.023896), (118.824252, 32.023932), (118.823597, 32.024014), (118.822256, 32.024378), (118.821612, 32.024587)]"
193,DAOLU_2022_193,东关头路,LineString,EPSG:4326 (WGS84经纬度),484.72,118.788074,118.792821,32.023472,32.02468,"[(118.788074, 32.023472), (118.789825, 32.024442), (118.790082, 32.024576), (118.792821, 32.02468)]"
194,DAOLU_2022_194,小西湖,LineString,EPSG:4326 (WGS84经纬度),300.35,118.78043,118.783427,32.01748,32.018383,"[(118.783427, 32.01748), (118.78213, 32.017847), (118.78043, 32.018383)]"
195,DAOLU_2022_195,绫庄巷,LineString,EPSG:4326 (WGS84经纬度),167.16,118.774225,118.775929,32.028697,32.029103,"[(118.775929, 32.028697), (118.775367, 32.028837), (118.775095, 32.028904), (118.774225, 32.029103)]"
196,DAOLU_2022_196,牵牛巷,LineString,EPSG:4326 (WGS84经纬度),137.81,118.776027,118.776861,32.020156,32.021149,"[(118.776068, 32.020156), (118.776041, 32.020199), (118.776027, 32.020221), (118.776244, 32.020431), (118.77664, 32.020889), (118.776861, 32.021149)]"
197,DAOLU_2022_197,教敷营,LineString,EPSG:4326 (WGS84经纬度),332.89,118.780248,118.781293,32.022126,32.024934,"[(118.781293, 32.024934), (118.781272, 32.024869), (118.781251, 32.02476), (118.781181, 32.024532), (118.781127, 32.0243), (118.781031, 32.024068), (118.780972, 32.023814), (118.780918, 32.023632), (118.78087, 32.023404), (118.780789, 32.023191), (118.780693, 32.022922), (118.780602, 32.022745), (118.780537, 32.022672), (118.780425, 32.02264), (118.78035, 32.022486), (118.780306, 32.02234), (118.780248, 32.022126)]"
198,DAOLU_2022_198,洋珠巷,LineString,EPSG:4326 (WGS84经纬度),295.31,118.773235,118.776093,32.02424,32.025306,"[(118.776093, 32.02424), (118.775972, 32.024282), (118.77505, 32.024602), (118.774515, 32.024783), (118.773557, 32.025124), (118.773235, 32.025306)]"
199,DAOLU_2022_199,八宝东街,LineString,EPSG:4326 (WGS84经纬度),340.16,118.801603,118.805165,32.030618,32.030788,"[(118.801603, 32.030618), (118.801871, 32.030745), (118.805165, 32.030788)]"
200,DAOLU_2022_200,船板巷,LineString,EPSG:4326 (WGS84经纬度),461.38,118.772161,118.773293,32.020984,32.025008,"[(118.773293, 32.020984), (118.773225, 32.02144), (118.773021, 32.022249), (118.772899, 32.022878), (118.772871, 32.023023), (118.772699, 32.023905), (118.772399, 32.024578), (118.772161, 32.025008)]"
201,DAOLU_2022_201,丁家巷,LineString,EPSG:4326 (WGS84经纬度),168.45,118.767544,118.769137,32.033518,32.034198,"[(118.769137, 32.033518), (118.767714, 32.034151), (118.767544, 32.034198)]"
202,DAOLU_2022_202,府东街,LineString,EPSG:4326 (WGS84经纬度),239.14,118.777803,118.78023,32.027613,32.028226,"[(118.78023, 32.027613), (118.777803, 32.028226)]"
203,DAOLU_2022_203,柳叶街,LineString,EPSG:4326 (WGS84经纬度),407.8,118.767444,118.770776,32.026623,32.028953,"[(118.770776, 32.026623), (118.770479, 32.02687), (118.770092, 32.027207), (118.768891, 32.028007), (118.767444, 32.028953)]"
204,DAOLU_2022_204,张公桥,LineString,EPSG:4326 (WGS84经纬度),264.17,118.765586,118.766404,32.036279,32.038355,"[(118.765691, 32.036279), (118.765822, 32.036593), (118.765801, 32.036875), (118.765586, 32.037311), (118.765661, 32.037611), (118.765897, 32.037957), (118.766404, 32.038355)]"
205,DAOLU_2022_205,西八府塘,LineString,EPSG:4326 (WGS84经纬度),315.38,118.786915,118.788127,32.02763,32.030244,"[(118.788127, 32.030244), (118.787881, 32.029221), (118.787795, 32.02898), (118.787194, 32.027962), (118.786915, 32.02763)]"
206,DAOLU_2022_206,马府街,LineString,EPSG:4326 (WGS84经纬度),359.95,118.785985,118.789656,32.031365,32.032235,"[(118.785985, 32.032235), (118.787935, 32.031773), (118.788188, 32.031704), (118.789656, 32.031365)]"
207,DAOLU_2022_207,上浮桥,LineString,EPSG:4326 (WGS84经纬度),50.18,118.772174,118.772679,32.025011,32.025151,"[(118.772679, 32.025151), (118.772174, 32.025011)]"
208,DAOLU_2022_208,瑞金北村,LineString,EPSG:4326 (WGS84经纬度),666.33,118.805263,118.80805,32.034047,32.037931,"[(118.80805, 32.034047), (118.80803, 32.034519), (118.807858, 32.035029), (118.807773, 32.035893), (118.807775, 32.036732), (118.807773, 32.036857), (118.807794, 32.037876), (118.805263, 32.037931)]"
209,DAOLU_2022_209,乌衣巷,LineString,EPSG:4326 (WGS84经纬度),343.17,118.784153,118.787674,32.019505,32.020267,"[(118.787674, 32.019505), (118.786498, 32.01976), (118.784153, 32.020267)]"
210,DAOLU_2022_210,文正桥,LineString,EPSG:4326 (WGS84经纬度),64.83,118.789645,118.789825,32.024442,32.025006,"[(118.789645, 32.025006), (118.789825, 32.024442)]"
211,DAOLU_2022_211,冶山道院,LineString,EPSG:4326 (WGS84经纬度),307.98,118.769437,118.772396,32.037428,32.038589,"[(118.772396, 32.037428), (118.771552, 32.037725), (118.770688, 32.038121), (118.769835, 32.038448), (118.769437, 32.038589)]"
212,DAOLU_2022_212,曹都巷,LineString,EPSG:4326 (WGS84经纬度),179.4,118.774835,118.776624,32.035785,32.036324,"[(118.776624, 32.035785), (118.775242, 32.036174), (118.774835, 32.036324)]"
213,DAOLU_2022_213,李府街,LineString,EPSG:4326 (WGS84经纬度),854.78,118.81801,118.81899,32.033428,32.041086,"[(118.81899, 32.041086), (118.818898, 32.040186), (118.818705, 32.038674), (118.818683, 32.038503), (118.818406, 32.037253), (118.818285, 32.036262), (118.818246, 32.03593), (118.818109, 32.034608), (118.81801, 32.033428)]"
214,DAOLU_2022_214,东园桥,LineString,EPSG:4326 (WGS84经纬度),50.09,118.78763,118.788074,32.023225,32.023472,"[(118.78763, 32.023225), (118.788074, 32.023472)]"
215,DAOLU_2022_215,东关头路,LineString,EPSG:4326 (WGS84经纬度),5.79,118.787578,118.78763,32.023197,32.023225,"[(118.787578, 32.023197), (118.78763, 32.023225)]"
216,DAOLU_2022_216,长白街,LineString,EPSG:4326 (WGS84经纬度),92.72,118.789387,118.789645,32.025006,32.025813,"[(118.789387, 32.025813), (118.789624, 32.025072), (118.789645, 32.025006)]"
217,DAOLU_2022_217,蔡家花园,LineString,EPSG:4326 (WGS84经纬度),196.69,118.784956,118.786933,32.04115,32.041689,"[(118.784956, 32.041689), (118.785435, 32.041586), (118.786379, 32.041372), (118.786933, 32.04115)]"
218,DAOLU_2022_218,白衣庵,LineString,EPSG:4326 (WGS84经纬度),177.31,118.776568,118.77836,32.029867,32.030343,"[(118.776568, 32.030343), (118.778238, 32.029895), (118.77836, 32.029867)]"
219,DAOLU_2022_219,东干长巷,LineString,EPSG:4326 (WGS84经纬度),609.77,118.782052,118.787604,32.010248,32.012782,"[(118.787604, 32.010248), (118.785348, 32.010821), (118.785263, 32.010855), (118.785173, 32.010913), (118.785034, 32.011069), (118.78474, 32.011402), (118.784696, 32.011451), (118.784465, 32.011616), (118.784144, 32.011893), (118.783035, 32.012441), (118.782443, 32.012647), (118.782052, 32.012782)]"
220,DAOLU_2022_220,双塘路,LineString,EPSG:4326 (WGS84经纬度),55.29,118.772679,118.773235,32.025151,32.025306,"[(118.773235, 32.025306), (118.772826, 32.025192), (118.772679, 32.025151)]"
221,DAOLU_2022_221,安品街,LineString,EPSG:4326 (WGS84经纬度),475.99,118.768082,118.772676,32.030188,32.031845,"[(118.772676, 32.030193), (118.77253, 32.030188), (118.771562, 32.030345), (118.771154, 32.030454), (118.771102, 32.030474), (118.770608, 32.030678), (118.770216, 32.030839), (118.769462, 32.031188), (118.768082, 32.031845)]"
222,DAOLU_2022_222,紫金西路,LineString,EPSG:4326 (WGS84经纬度),643.79,118.81994,118.822934,32.021689,32.02644,"[(118.822934, 32.02644), (118.822878, 32.025888), (118.822717, 32.025524), (118.822342, 32.025097), (118.821902, 32.024769), (118.821612, 32.024587), (118.820969, 32.024178), (118.820454, 32.023823), (118.820078, 32.023523), (118.819992, 32.022686), (118.81994, 32.021689)]"
223,DAOLU_2022_223,打钉巷,LineString,EPSG:4326 (WGS84经纬度),229.74,118.772567,118.774763,32.031356,32.032244,"[(118.772567, 32.032244), (118.772984, 32.032071), (118.773366, 32.03193), (118.773745, 32.031773), (118.774139, 32.031611), (118.774422, 32.031483), (118.774638, 32.031402), (118.774763, 32.031356)]"
224,DAOLU_2022_224,大板巷,LineString,EPSG:4326 (WGS84经纬度),35.26,118.777101,118.777228,32.031711,32.03201,"[(118.777101, 32.031711), (118.777228, 32.03201)]"
225,DAOLU_2022_225,北湾子,LineString,EPSG:4326 (WGS84经纬度),198.77,118.764695,118.76669,32.032738,32.033193,"[(118.76669, 32.032738), (118.766541, 32.032817), (118.766223, 32.03295), (118.765681, 32.033126), (118.765319, 32.033193), (118.764695, 32.033187)]"
226,DAOLU_2022_226,彩霞街,LineString,EPSG:4326 (WGS84经纬度),200.76,118.773235,118.773719,32.025306,32.027069,"[(118.773235, 32.025306), (118.773517, 32.026236), (118.773719, 32.027069)]"
227,DAOLU_2022_227,小心桥东街,LineString,EPSG:4326 (WGS84经纬度),432.58,118.78773,118.78883,32.013007,32.016791,"[(118.78883, 32.016791), (118.788632, 32.0163), (118.788275, 32.014829), (118.788029, 32.013952), (118.78773, 32.013007)]"
228,DAOLU_2022_228,瑞虹巷,LineString,EPSG:4326 (WGS84经纬度),237.27,118.805263,118.807775,32.036732,32.036743,"[(118.807775, 32.036732), (118.805263, 32.036743)]"
230,,,,EPSG:4326 (WGS84经纬度),,,,,,
231,DAOLU_2022_230,普华巷,LineString,EPSG:4326 (WGS84经纬度),244.7,118.79384,118.79636,32.042072,32.042248,"[(118.79384, 32.042225), (118.794652, 32.042072), (118.795592, 32.042179), (118.795659, 32.042248), (118.79636, 32.042181)]"
232,DAOLU_2022_231,英威街,LineString,EPSG:4326 (WGS84经纬度),110.27,118.796339,118.79748,32.041803,32.042015,"[(118.796339, 32.042015), (118.79748, 32.041803)]"
233,DAOLU_2022_232,四条巷,LineString,EPSG:4326 (WGS84经纬度),569.18,118.792595,118.79384,32.035443,32.040465,"[(118.792595, 32.035443), (118.792989, 32.037023), (118.793357, 32.038439), (118.793621, 32.039526), (118.79384, 32.040465)]"
234,DAOLU_2022_233,杨公井,LineString,EPSG:4326 (WGS84经纬度),235.46,118.785971,118.788305,32.037289,32.038022,"[(118.785971, 32.038022), (118.78708, 32.037751), (118.788305, 32.037289)]"
235,DAOLU_2022_234,抄纸巷,LineString,EPSG:4326 (WGS84经纬度),638.12,118.782891,118.784187,32.037807,32.04345,"[(118.782891, 32.037807), (118.783268, 32.039227), (118.7837, 32.040852), (118.783899, 32.041726), (118.783916, 32.042004), (118.784187, 32.04345)]"
236,DAOLU_2022_235,西祠堂巷,LineString,EPSG:4326 (WGS84经纬度),308.87,118.784661,118.785437,32.040654,32.04336,"[(118.784661, 32.040654), (118.785058, 32.042024), (118.785437, 32.04336)]"
237,DAOLU_2022_236,小杨村,LineString,EPSG:4326 (WGS84经纬度),334.45,118.790807,118.791783,32.035707,32.038603,"[(118.790807, 32.035707), (118.791292, 32.037368), (118.791783, 32.038603)]"
238,DAOLU_2022_237,三十四标,LineString,EPSG:4326 (WGS84经纬度),375.47,118.787972,118.790119,32.036383,32.039144,"[(118.790119, 32.039144), (118.788537, 32.037724), (118.788463, 32.037578), (118.788271, 32.037227), (118.787972, 32.036383)]"
239,DAOLU_2022_238,东白菜园,LineString,EPSG:4326 (WGS84经纬度),189.29,118.790292,118.792165,32.039662,32.040269,"[(118.790292, 32.040269), (118.792165, 32.039662)]"
240,DAOLU_2022_239,东白菜园,LineString,EPSG:4326 (WGS84经纬度),124.7,118.790893,118.791365,32.038871,32.039921,"[(118.791365, 32.039921), (118.790893, 32.038871)]"
241,DAOLU_2022_240,东白菜园,LineString,EPSG:4326 (WGS84经纬度),125.97,118.791017,118.791502,32.040034,32.041092,"[(118.791017, 32.040034), (118.791502, 32.041092)]"
242,DAOLU_2022_241,头条巷,LineString,EPSG:4326 (WGS84经纬度),520.92,118.796613,118.798229,32.037531,32.04186,"[(118.796613, 32.037531), (118.797555, 32.040493), (118.79798, 32.04186), (118.798229, 32.041821)]"
243,DAOLU_2022_242,玄津桥,LineString,EPSG:4326 (WGS84经纬度),95.62,118.798229,118.799227,32.041678,32.041821,"[(118.798229, 32.041821), (118.799227, 32.041678)]"
244,DAOLU_2022_243,天妃巷,LineString,EPSG:4326 (WGS84经纬度),188.4,118.770071,118.770662,32.039855,32.041457,"[(118.770662, 32.041457), (118.770644, 32.041427), (118.770492, 32.041113), (118.770418, 32.040859), (118.770314, 32.040226), (118.770071, 32.039855)]"
245,DAOLU_2022_244,天妃巷,LineString,EPSG:4326 (WGS84经纬度),51.18,118.770184,118.770662,32.041457,32.041674,"[(118.770662, 32.041457), (118.770184, 32.041674)]"
246,DAOLU_2022_245,三茅巷,LineString,EPSG:4326 (WGS84经纬度),330.91,118.770534,118.773695,32.039913,32.0412,"[(118.773695, 32.039913), (118.770534, 32.0412)]"
247,DAOLU_2022_246,城佐营,LineString,EPSG:4326 (WGS84经纬度),236.61,118.791975,118.792595,32.033376,32.035443,"[(118.792595, 32.035443), (118.791975, 32.033376)]"
248,DAOLU_2022_247,申家巷,LineString,EPSG:4326 (WGS84经纬度),527.62,118.791212,118.793137,32.030969,32.035348,"[(118.791212, 32.030969), (118.79171, 32.032313), (118.791956, 32.032404), (118.792439, 32.033256), (118.793137, 32.035348)]"
249,DAOLU_2022_248,马道街,LineString,EPSG:4326 (WGS84经纬度),252.22,118.776643,118.779177,32.016713,32.017407,"[(118.776643, 32.017407), (118.777292, 32.01729), (118.778014, 32.01712), (118.779177, 32.016713)]"
250,DAOLU_2022_249,马道街,LineString,EPSG:4326 (WGS84经纬度),63.57,118.779177,118.779816,32.016533,32.016713,"[(118.779177, 32.016713), (118.779816, 32.016533)]"
251,DAOLU_2022_250,马道街,LineString,EPSG:4326 (WGS84经纬度),900.34,118.779816,118.789093,32.014699,32.016533,"[(118.779816, 32.016533), (118.780548, 32.016396), (118.782444, 32.016112), (118.783163, 32.015944), (118.787257, 32.01501), (118.789093, 32.014699)]"
252,DAOLU_2022_251,转龙巷,LineString,EPSG:4326 (WGS84经纬度),361.1,118.785379,118.786682,32.01212,32.015141,"[(118.786682, 32.015141), (118.786371, 32.014308), (118.7859, 32.013079), (118.785812, 32.012886), (118.7857, 32.012789), (118.785544, 32.01266), (118.785474, 32.012531), (118.785379, 32.01212)]"
253,DAOLU_2022_252,老虎头,LineString,EPSG:4326 (WGS84经纬度),264.58,118.785379,118.787884,32.011086,32.01212,"[(118.785379, 32.01212), (118.785558, 32.01207), (118.785927, 32.011986), (118.786048, 32.011921), (118.786215, 32.011822), (118.786523, 32.011647), (118.786775, 32.011566), (118.787136, 32.011406), (118.787598, 32.011204), (118.787884, 32.011086)]"
254,DAOLU_2022_253,边营,LineString,EPSG:4326 (WGS84经纬度),321.66,118.782125,118.785379,32.01212,32.012971,"[(118.785379, 32.01212), (118.78499, 32.012221), (118.784894, 32.012258), (118.783459, 32.012635), (118.782125, 32.012971)]"
255,DAOLU_2022_254,门东历史文化街,LineString,EPSG:4326 (WGS84经纬度),260.44,118.782052,118.78282,32.012782,32.015038,"[(118.78282, 32.015038), (118.782125, 32.012971), (118.782052, 32.012782)]"
256,DAOLU_2022_255,新民坊路,LineString,EPSG:4326 (WGS84经纬度),491.98,118.777127,118.782052,32.012782,32.014224,"[(118.782052, 32.012782), (118.779264, 32.013556), (118.777127, 32.014224)]"
