原始要素ID,DIKUAI_ID,核心地块编号,几何类型,坐标系,面积（平方米）,最小经度,最大经度,最小纬度,最大纬度,完整GeoJSON坐标
778,DIKUAI_2023_0841,0841,Polygon,EPSG:4326 (WGS84经纬度),76248.07,118.805677,118.808724,32.038982,32.041112,"[[[118.805914, 32.041112], [118.807281, 32.041024], [118.807872, 32.040986], [118.80808, 32.040972], [118.808038, 32.040532], [118.808724, 32.040488], [118.808688, 32.040057], [118.808519, 32.040071], [118.808461, 32.039336], [118.80792, 32.03935], [118.807895, 32.038982], [118.807795, 32.038985], [118.807045, 32.039011], [118.805677, 32.039058], [118.805724, 32.039813], [118.805783, 32.040758], [118.805884, 32.040753], [118.805914, 32.041112]]]"
779,DIKUAI_2023_0842,0842,Polygon,EPSG:4326 (WGS84经纬度),1890.08,118.784712,118.785309,32.027662,32.028004,"[[[118.784786, 32.028004], [118.785309, 32.027897], [118.78525, 32.027662], [118.784712, 32.027781], [118.784722, 32.027812], [118.784782, 32.02799], [118.784786, 32.028004]]]"
780,DIKUAI_2023_0843,0843,Polygon,EPSG:4326 (WGS84经纬度),3261.8,118.784786,118.785772,32.027815,32.028348,"[[[118.785094, 32.028147], [118.785772, 32.027991], [118.785717, 32.027815], [118.785309, 32.027897], [118.784786, 32.028004], [118.784882, 32.028294], [118.784901, 32.028348], [118.785142, 32.028289], [118.785094, 32.028147]]]"
781,DIKUAI_2023_0844,0844,Polygon,EPSG:4326 (WGS84经纬度),7242.42,118.795572,118.79642,32.034935,32.035853,"[[[118.795778, 32.035853], [118.79642, 32.0357], [118.796272, 32.035357], [118.796176, 32.035135], [118.796134, 32.034994], [118.796109, 32.034935], [118.795977, 32.034961], [118.795582, 32.035056], [118.795572, 32.035092], [118.795575, 32.035109], [118.795589, 32.035163], [118.795659, 32.035411], [118.795742, 32.035728], [118.795778, 32.035853]]]"
782,DIKUAI_2023_0845,0845,Polygon,EPSG:4326 (WGS84经纬度),7314.41,118.77862,118.779833,32.021164,32.022324,"[[[118.779206, 32.022074], [118.77894, 32.021164], [118.77862, 32.021217], [118.778896, 32.022225], [118.778898, 32.022234], [118.778915, 32.022252], [118.778944, 32.022275], [118.778976, 32.022295], [118.77901, 32.022312], [118.779022, 32.022317], [118.779035, 32.02232], [118.779054, 32.022323], [118.779074, 32.022324], [118.779087, 32.022322], [118.779833, 32.022107], [118.779759, 32.02192], [118.779206, 32.022074]]]"
783,DIKUAI_2023_0846,0846,Polygon,EPSG:4326 (WGS84经纬度),5929.28,118.784901,118.786032,32.027965,32.028985,"[[[118.785157, 32.028985], [118.785165, 32.028975], [118.785135, 32.028846], [118.785123, 32.028818], [118.785107, 32.028774], [118.78518, 32.028672], [118.785471, 32.02849], [118.785802, 32.028269], [118.786032, 32.028104], [118.785887, 32.027965], [118.785772, 32.027991], [118.785094, 32.028147], [118.785142, 32.028289], [118.784901, 32.028348], [118.785018, 32.028703], [118.785095, 32.028779], [118.785157, 32.028985]]]"
784,DIKUAI_2023_0847,0847,Polygon,EPSG:4326 (WGS84经纬度),8273.96,118.796727,118.79753,32.035589,32.03674,"[[[118.797102, 32.03674], [118.79753, 32.03667], [118.797339, 32.035589], [118.796727, 32.035687], [118.796835, 32.035956], [118.796996, 32.036381], [118.79701, 32.036427], [118.797102, 32.03674]]]"
785,DIKUAI_2023_0848,0848,Polygon,EPSG:4326 (WGS84经纬度),664.55,118.787461,118.787774,32.030033,32.030235,"[[[118.787495, 32.030235], [118.787774, 32.030192], [118.78774, 32.030033], [118.787461, 32.030078], [118.787495, 32.030235]]]"
786,DIKUAI_2023_0849,0849,Polygon,EPSG:4326 (WGS84经纬度),16936.03,118.774295,118.776627,32.01598,32.01868,"[[[118.776348, 32.016872], [118.776361, 32.016891], [118.776627, 32.016801], [118.776556, 32.016551], [118.776601, 32.016532], [118.776083, 32.01598], [118.776052, 32.016004], [118.775861, 32.016208], [118.775709, 32.016409], [118.77568, 32.016444], [118.775518, 32.016661], [118.775298, 32.016929], [118.775172, 32.017072], [118.775135, 32.017114], [118.775048, 32.017185], [118.774961, 32.01729], [118.774844, 32.017436], [118.774658, 32.017678], [118.774523, 32.01789], [118.774413, 32.018125], [118.774344, 32.018278], [118.774327, 32.01831], [118.774301, 32.018388], [118.774295, 32.018409], [118.774411, 32.018573], [118.774488, 32.01868], [118.774505, 32.018659], [118.774537, 32.018587], [118.774609, 32.018417], [118.774669, 32.018292], [118.774734, 32.018179], [118.774831, 32.01802], [118.774929, 32.017867], [118.775028, 32.017732], [118.7752, 32.017489], [118.775378, 32.017252], [118.775568, 32.017007], [118.775722, 32.016837], [118.775897, 32.01664], [118.775946, 32.016588], [118.77595, 32.016584], [118.775954, 32.01658], [118.775959, 32.016577], [118.775965, 32.016575], [118.775971, 32.016574], [118.775977, 32.016574], [118.775984, 32.016574], [118.77599, 32.016575], [118.775995, 32.016577], [118.776027, 32.016595], [118.776092, 32.016636], [118.776188, 32.016714], [118.776243, 32.016757], [118.77627, 32.016781], [118.776304, 32.016817], [118.776327, 32.016845], [118.776348, 32.016872]]]"
787,DIKUAI_2023_0850,0850,Polygon,EPSG:4326 (WGS84经纬度),18182.6,118.785839,118.787495,32.028584,32.030339,"[[[118.787461, 32.030078], [118.787353, 32.029575], [118.787225, 32.029127], [118.786683, 32.02926], [118.786549, 32.02908], [118.786702, 32.028998], [118.786551, 32.0288], [118.786495, 32.028831], [118.786315, 32.028584], [118.786219, 32.028646], [118.786109, 32.028719], [118.785962, 32.028817], [118.785863, 32.028882], [118.785839, 32.028901], [118.786154, 32.029325], [118.786272, 32.029483], [118.786668, 32.02968], [118.786768, 32.030139], [118.786812, 32.030339], [118.787495, 32.030235], [118.787461, 32.030078]]]"
788,DIKUAI_2023_0851,0851,Polygon,EPSG:4326 (WGS84经纬度),27299.12,118.779141,118.780927,32.022222,32.023989,"[[[118.779315, 32.02251], [118.779141, 32.022559], [118.779174, 32.022645], [118.779274, 32.022617], [118.779581, 32.023548], [118.77947, 32.02357], [118.779496, 32.023665], [118.779456, 32.023674], [118.779494, 32.023812], [118.779345, 32.02384], [118.779376, 32.023953], [118.779401, 32.023988], [118.779439, 32.023989], [118.779622, 32.023949], [118.779755, 32.023916], [118.779877, 32.023891], [118.779936, 32.023892], [118.779971, 32.023886], [118.780058, 32.02387], [118.780417, 32.023783], [118.780639, 32.02372], [118.780915, 32.023649], [118.780924, 32.023646], [118.780927, 32.023642], [118.780835, 32.023383], [118.780687, 32.022979], [118.78064, 32.022852], [118.780625, 32.022805], [118.780614, 32.022779], [118.780605, 32.022771], [118.780594, 32.022766], [118.780583, 32.022763], [118.780547, 32.022769], [118.780453, 32.022785], [118.780442, 32.022783], [118.780425, 32.022776], [118.780409, 32.022713], [118.780366, 32.022569], [118.780304, 32.022357], [118.780303, 32.022338], [118.780308, 32.022267], [118.780313, 32.022222], [118.779975, 32.022319], [118.779656, 32.022411], [118.779315, 32.02251]]]"
789,DIKUAI_2023_0852,0852,Polygon,EPSG:4326 (WGS84经纬度),51084.76,118.77255,118.776103,32.014169,32.01644,"[[[118.774245, 32.016066], [118.774273, 32.016064], [118.774547, 32.015236], [118.775018, 32.014991], [118.775161, 32.015226], [118.775486, 32.015102], [118.77557, 32.015281], [118.77534, 32.015436], [118.775732, 32.015802], [118.775746, 32.015788], [118.775835, 32.015713], [118.775926, 32.015641], [118.77597, 32.01561], [118.776018, 32.015584], [118.776103, 32.01554], [118.775954, 32.015342], [118.775604, 32.014193], [118.775573, 32.014169], [118.775539, 32.01417], [118.775426, 32.014207], [118.77525, 32.014278], [118.774862, 32.014436], [118.774586, 32.014546], [118.774364, 32.014637], [118.774111, 32.014739], [118.773893, 32.014825], [118.773472, 32.014978], [118.773393, 32.015006], [118.773318, 32.015021], [118.77327, 32.015037], [118.773102, 32.015095], [118.77296, 32.015148], [118.772725, 32.015226], [118.77255, 32.01528], [118.772658, 32.015587], [118.772783, 32.015943], [118.772958, 32.01644], [118.773285, 32.016319], [118.773444, 32.016259], [118.773677, 32.016177], [118.773933, 32.016107], [118.77403, 32.016085], [118.774086, 32.016075], [118.774245, 32.016066]]]"
790,DIKUAI_2023_0853,0853,Polygon,EPSG:4326 (WGS84经纬度),2927.41,118.790008,118.790449,32.031799,32.032568,"[[[118.790359, 32.031799], [118.790008, 32.031891], [118.790068, 32.032058], [118.790246, 32.032552], [118.790252, 32.032568], [118.790422, 32.032516], [118.790363, 32.032376], [118.790449, 32.032351], [118.790374, 32.032158], [118.790431, 32.032011], [118.790359, 32.031799]]]"
791,DIKUAI_2023_0854,0854,Polygon,EPSG:4326 (WGS84经纬度),6120.61,118.785157,118.786298,32.028232,32.029222,"[[[118.786215, 32.028354], [118.786153, 32.028257], [118.786138, 32.028232], [118.785951, 32.028354], [118.785641, 32.028576], [118.785276, 32.028818], [118.785199, 32.028928], [118.785165, 32.028975], [118.785157, 32.028985], [118.78522, 32.029191], [118.785233, 32.029214], [118.785255, 32.02922], [118.785278, 32.029222], [118.785301, 32.029222], [118.785324, 32.029219], [118.785346, 32.029213], [118.785557, 32.029042], [118.785752, 32.028898], [118.786034, 32.028707], [118.786287, 32.028523], [118.786292, 32.028516], [118.786295, 32.028509], [118.786297, 32.028501], [118.786298, 32.028494], [118.786297, 32.028486], [118.786295, 32.028478], [118.786278, 32.028448], [118.786241, 32.028395], [118.786215, 32.028354]]]"
792,DIKUAI_2023_0855,0855,Polygon,EPSG:4326 (WGS84经纬度),3464.36,118.804456,118.805042,32.039298,32.039709,"[[[118.805042, 32.039704], [118.80504, 32.039298], [118.804456, 32.039304], [118.804458, 32.039709], [118.805042, 32.039704]]]"
793,DIKUAI_2023_0856,0856,Polygon,EPSG:4326 (WGS84经纬度),54451.29,118.821083,118.823246,32.04215,32.044335,"[[[118.821337, 32.044335], [118.823246, 32.044062], [118.823229, 32.043332], [118.822506, 32.042163], [118.821749, 32.042216], [118.821721, 32.04215], [118.821651, 32.042154], [118.821083, 32.042193], [118.82109, 32.042286], [118.821133, 32.042693], [118.821188, 32.04326], [118.821241, 32.043773], [118.821337, 32.044335]]]"
794,DIKUAI_2023_0857,0857,Polygon,EPSG:4326 (WGS84经纬度),14577.32,118.813546,118.81451,32.041499,32.042697,"[[[118.81365, 32.042697], [118.81451, 32.042648], [118.814477, 32.042275], [118.814409, 32.041499], [118.813556, 32.041559], [118.813547, 32.041625], [118.813546, 32.041693], [118.813553, 32.041759], [118.81365, 32.042697]]]"
795,DIKUAI_2023_0858,0858,Polygon,EPSG:4326 (WGS84经纬度),35424.28,118.774501,118.776753,32.016605,32.019204,"[[[118.775321, 32.018016], [118.775344, 32.017974], [118.77539, 32.017892], [118.775412, 32.017896], [118.775402, 32.017914], [118.775338, 32.018026], [118.775318, 32.018058], [118.77531, 32.018075], [118.775309, 32.018078], [118.775309, 32.018081], [118.775309, 32.018084], [118.77531, 32.018086], [118.775311, 32.018089], [118.775313, 32.018092], [118.775316, 32.018094], [118.775318, 32.018096], [118.775322, 32.018097], [118.775337, 32.018103], [118.775439, 32.018144], [118.77558, 32.018205], [118.775679, 32.01825], [118.775802, 32.018306], [118.775922, 32.018363], [118.776025, 32.018419], [118.776159, 32.018496], [118.776212, 32.018527], [118.776256, 32.018553], [118.776257, 32.018554], [118.776259, 32.018555], [118.776261, 32.018555], [118.776263, 32.018555], [118.776265, 32.018555], [118.776266, 32.018554], [118.776292, 32.018528], [118.776337, 32.018477], [118.776405, 32.018393], [118.776461, 32.018321], [118.7765, 32.018283], [118.776608, 32.018165], [118.776679, 32.018096], [118.776747, 32.018025], [118.776749, 32.018021], [118.776751, 32.018018], [118.776752, 32.018014], [118.776753, 32.01801], [118.776752, 32.018006], [118.776751, 32.018002], [118.776749, 32.017998], [118.776737, 32.017959], [118.776706, 32.017873], [118.776584, 32.017534], [118.77651, 32.017328], [118.776474, 32.017227], [118.776429, 32.017093], [118.776393, 32.017015], [118.776367, 32.01696], [118.776339, 32.01691], [118.776302, 32.016863], [118.776267, 32.016824], [118.776245, 32.016801], [118.776208, 32.016769], [118.776118, 32.016699], [118.77602, 32.016627], [118.77599, 32.016606], [118.775986, 32.016605], [118.775982, 32.016605], [118.775978, 32.016605], [118.775969, 32.016607], [118.77596, 32.01661], [118.775952, 32.016614], [118.775945, 32.01662], [118.775939, 32.016626], [118.775899, 32.016673], [118.775862, 32.016717], [118.775754, 32.016835], [118.775665, 32.016931], [118.775595, 32.017008], [118.775524, 32.017093], [118.775419, 32.017232], [118.775319, 32.017371], [118.775209, 32.01752], [118.775059, 32.017734], [118.774934, 32.017905], [118.774831, 32.018071], [118.774749, 32.018206], [118.774691, 32.018306], [118.774641, 32.01841], [118.774571, 32.018575], [118.774521, 32.018674], [118.774501, 32.018699], [118.774517, 32.018721], [118.774552, 32.018771], [118.774712, 32.019007], [118.774796, 32.01915], [118.774821, 32.019204], [118.774839, 32.019175], [118.774857, 32.019132], [118.774888, 32.019058], [118.774933, 32.018947], [118.774975, 32.01884], [118.775009, 32.018756], [118.775044, 32.018674], [118.775085, 32.018578], [118.775121, 32.018486], [118.775163, 32.018381], [118.775226, 32.018234], [118.775256, 32.018151], [118.775277, 32.018097], [118.775289, 32.018072], [118.775321, 32.018016]]]"
797,DIKUAI_2023_0860,0860,Polygon,EPSG:4326 (WGS84经纬度),10772.47,118.77403,118.776264,32.01558,32.018265,"[[[118.776224, 32.015724], [118.776264, 32.015693], [118.776136, 32.015584], [118.776126, 32.015581], [118.776115, 32.01558], [118.776104, 32.015581], [118.776093, 32.015582], [118.776083, 32.015585], [118.776025, 32.015616], [118.775976, 32.015648], [118.775933, 32.015677], [118.775876, 32.015717], [118.77578, 32.015798], [118.775714, 32.015859], [118.775631, 32.015943], [118.775541, 32.016037], [118.775484, 32.016102], [118.775357, 32.016275], [118.775272, 32.01639], [118.77518, 32.01651], [118.775111, 32.016605], [118.77504, 32.016693], [118.774984, 32.016761], [118.774812, 32.016966], [118.774644, 32.017169], [118.774433, 32.017423], [118.774277, 32.017659], [118.774111, 32.017916], [118.77403, 32.018057], [118.77404, 32.018071], [118.774089, 32.018147], [118.774166, 32.018243], [118.774184, 32.018265], [118.77419, 32.018253], [118.774231, 32.018175], [118.774351, 32.017938], [118.774372, 32.017905], [118.774379, 32.017894], [118.7745, 32.017704], [118.774674, 32.01747], [118.77484, 32.01727], [118.775297, 32.016749], [118.775679, 32.016237], [118.775701, 32.016208], [118.776089, 32.01581], [118.776173, 32.015758], [118.776224, 32.015724]]]"
798,DIKUAI_2023_0861,0861,Polygon,EPSG:4326 (WGS84经纬度),9761.54,118.776895,118.777808,32.019401,32.020781,"[[[118.777791, 32.020637], [118.777808, 32.020626], [118.777377, 32.019401], [118.777337, 32.019405], [118.777313, 32.01941], [118.777067, 32.019499], [118.777047, 32.019509], [118.776934, 32.019585], [118.776914, 32.019612], [118.776895, 32.01965], [118.77691, 32.019758], [118.777092, 32.020139], [118.77711, 32.02019], [118.777162, 32.020306], [118.777246, 32.0205], [118.777333, 32.020698], [118.777371, 32.020777], [118.777375, 32.02078], [118.77738, 32.020781], [118.777401, 32.020774], [118.777791, 32.020637]]]"
799,DIKUAI_2023_0862,0862,Polygon,EPSG:4326 (WGS84经纬度),29461.66,118.775591,118.777526,32.018194,32.020091,"[[[118.777495, 32.019324], [118.777526, 32.019317], [118.777179, 32.018194], [118.77661, 32.018197], [118.776542, 32.018274], [118.776485, 32.018333], [118.776449, 32.018379], [118.776431, 32.018401], [118.776431, 32.018403], [118.776432, 32.018406], [118.776433, 32.018408], [118.776434, 32.01841], [118.776436, 32.018412], [118.776438, 32.018414], [118.776494, 32.01845], [118.776474, 32.018472], [118.776439, 32.018452], [118.776419, 32.01844], [118.776416, 32.018439], [118.776414, 32.018438], [118.776411, 32.018437], [118.776408, 32.018437], [118.776405, 32.018438], [118.776402, 32.018439], [118.7764, 32.01844], [118.776398, 32.018441], [118.776342, 32.018509], [118.776241, 32.018621], [118.776148, 32.018727], [118.776072, 32.018819], [118.775986, 32.018932], [118.775921, 32.01902], [118.775782, 32.019223], [118.775598, 32.019487], [118.775591, 32.019497], [118.775798, 32.019695], [118.775957, 32.019949], [118.776132, 32.020091], [118.776148, 32.020075], [118.776215, 32.020005], [118.776251, 32.019957], [118.776305, 32.019891], [118.776323, 32.019875], [118.776577, 32.019734], [118.776885, 32.019563], [118.776913, 32.019542], [118.776978, 32.019475], [118.777039, 32.019451], [118.777284, 32.01936], [118.777372, 32.019345], [118.777495, 32.019324]]]"
800,DIKUAI_2023_0863,0863,Polygon,EPSG:4326 (WGS84经纬度),29851.89,118.78707,118.789569,32.030186,32.031886,"[[[118.789569, 32.031305], [118.789418, 32.030819], [118.789291, 32.030386], [118.789276, 32.030371], [118.788642, 32.030501], [118.788526, 32.030186], [118.788266, 32.030252], [118.787838, 32.030326], [118.788003, 32.031156], [118.788067, 32.03135], [118.787628, 32.031438], [118.78707, 32.031549], [118.787178, 32.031886], [118.787598, 32.031785], [118.787731, 32.031752], [118.787955, 32.031699], [118.788165, 32.031648], [118.788741, 32.031516], [118.78913, 32.031435], [118.789362, 32.031387], [118.789513, 32.031357], [118.789525, 32.031354], [118.789536, 32.031349], [118.789546, 32.031342], [118.789554, 32.031334], [118.789561, 32.031325], [118.789566, 32.031315], [118.789569, 32.031305]]]"
801,DIKUAI_2023_0864,0864,Polygon,EPSG:4326 (WGS84经纬度),2042.27,118.794671,118.795517,32.03507,32.035456,"[[[118.795106, 32.035233], [118.795517, 32.035158], [118.795501, 32.035082], [118.795497, 32.035071], [118.795494, 32.03507], [118.79549, 32.035071], [118.795403, 32.035087], [118.795191, 32.035127], [118.794836, 32.035193], [118.794742, 32.035209], [118.794732, 32.03521], [118.79471, 32.035218], [118.794701, 32.035231], [118.794671, 32.035398], [118.794689, 32.035456], [118.795148, 32.035375], [118.795106, 32.035233]]]"
802,DIKUAI_2023_0865,0865,Polygon,EPSG:4326 (WGS84经纬度),2661.73,118.790611,118.792375,32.032993,32.033576,"[[[118.792352, 32.033065], [118.79231, 32.032993], [118.792212, 32.033016], [118.791906, 32.033154], [118.791422, 32.033261], [118.791437, 32.033307], [118.790611, 32.033519], [118.790624, 32.033546], [118.790634, 32.033556], [118.790645, 32.033563], [118.790658, 32.03357], [118.790673, 32.033574], [118.790687, 32.033576], [118.790702, 32.033575], [118.790717, 32.033573], [118.790913, 32.033514], [118.791115, 32.033455], [118.791268, 32.033413], [118.791722, 32.033311], [118.791901, 32.03327], [118.792015, 32.033245], [118.792197, 32.033203], [118.792325, 32.033174], [118.792337, 32.033168], [118.792348, 32.03316], [118.792357, 32.033151], [118.792365, 32.03314], [118.79237, 32.033129], [118.792374, 32.033117], [118.792375, 32.033105], [118.792352, 32.033065]]]"
803,DIKUAI_2023_0866,0866,Polygon,EPSG:4326 (WGS84经纬度),29669.06,118.781736,118.78382,32.02552,32.027101,"[[[118.782218, 32.02643], [118.781736, 32.02652], [118.781902, 32.027101], [118.783681, 32.026819], [118.783637, 32.026652], [118.78382, 32.026617], [118.783733, 32.026357], [118.783556, 32.026399], [118.783514, 32.026042], [118.783578, 32.026027], [118.783457, 32.025598], [118.783069, 32.02552], [118.783024, 32.025699], [118.782619, 32.025662], [118.78229, 32.025662], [118.782218, 32.02643]]]"
804,DIKUAI_2023_0867,0867,Polygon,EPSG:4326 (WGS84经纬度),9491.33,118.783656,118.784905,32.026995,32.029131,"[[[118.784778, 32.029074], [118.784905, 32.028945], [118.78478, 32.028539], [118.78475, 32.028452], [118.784281, 32.027025], [118.784275, 32.027017], [118.784266, 32.02701], [118.784257, 32.027004], [118.784246, 32.026999], [118.784235, 32.026997], [118.784223, 32.026995], [118.78391, 32.02704], [118.783723, 32.027068], [118.783656, 32.027077], [118.783691, 32.027265], [118.78398, 32.027226], [118.784097, 32.027765], [118.784247, 32.027743], [118.784699, 32.028924], [118.784623, 32.028949], [118.784711, 32.029131], [118.784778, 32.029074]]]"
805,DIKUAI_2023_0868,0868,Polygon,EPSG:4326 (WGS84经纬度),14758.15,118.790341,118.791906,32.032441,32.033519,"[[[118.791422, 32.033261], [118.791906, 32.033154], [118.791515, 32.032441], [118.790341, 32.032804], [118.790341, 32.032804], [118.790365, 32.032875], [118.790409, 32.033005], [118.790464, 32.033165], [118.790548, 32.033387], [118.790559, 32.03341], [118.790611, 32.033519], [118.791437, 32.033307], [118.791422, 32.033261]]]"
806,DIKUAI_2023_0869,0869,Polygon,EPSG:4326 (WGS84经纬度),17413.28,118.781356,118.782697,32.025086,32.02652,"[[[118.78144, 32.025087], [118.781356, 32.025087], [118.781736, 32.02652], [118.782218, 32.02643], [118.78229, 32.025662], [118.782619, 32.025662], [118.782697, 32.025172], [118.78267, 32.025167], [118.781916, 32.02509], [118.781474, 32.025086], [118.78144, 32.025087]]]"
807,DIKUAI_2023_0870,0870,Polygon,EPSG:4326 (WGS84经纬度),7430.52,118.807872,118.808768,32.040488,32.041684,"[[[118.807921, 32.041684], [118.808115, 32.041671], [118.808099, 32.041524], [118.807962, 32.041526], [118.807967, 32.041389], [118.807973, 32.041306], [118.807982, 32.04128], [118.807996, 32.041257], [118.808013, 32.041235], [118.808035, 32.041216], [118.808059, 32.0412], [118.808089, 32.041187], [118.808143, 32.041174], [118.808637, 32.041052], [118.808768, 32.041014], [118.808724, 32.040488], [118.808038, 32.040532], [118.80808, 32.040972], [118.807872, 32.040986], [118.807921, 32.041684]]]"
808,DIKUAI_2023_0871,0871,Polygon,EPSG:4326 (WGS84经纬度),5655.42,118.793114,118.794519,32.034458,32.035155,"[[[118.794456, 32.034552], [118.794435, 32.034458], [118.793919, 32.034582], [118.793981, 32.034811], [118.793114, 32.035016], [118.79315, 32.035138], [118.79316, 32.035155], [118.793634, 32.035075], [118.794218, 32.034971], [118.794469, 32.034923], [118.794501, 32.034899], [118.794515, 32.034876], [118.794519, 32.034853], [118.794515, 32.03482], [118.794463, 32.03458], [118.794456, 32.034552]]]"
809,DIKUAI_2023_0872,0872,Polygon,EPSG:4326 (WGS84经纬度),6134.4,118.777927,118.778512,32.020911,32.022167,"[[[118.777963, 32.020913], [118.777927, 32.020925], [118.778032, 32.021322], [118.778105, 32.021598], [118.777994, 32.021622], [118.778058, 32.021826], [118.777993, 32.021917], [118.778072, 32.022167], [118.778109, 32.022156], [118.778276, 32.022104], [118.778381, 32.022056], [118.778468, 32.022017], [118.778512, 32.021987], [118.77851, 32.021954], [118.778266, 32.021079], [118.77822, 32.020997], [118.778127, 32.020934], [118.778028, 32.020911], [118.777963, 32.020913]]]"
810,DIKUAI_2023_0873,0873,Polygon,EPSG:4326 (WGS84经纬度),964,118.783311,118.783691,32.027077,32.027312,"[[[118.78334, 32.027312], [118.783691, 32.027265], [118.783656, 32.027077], [118.783644, 32.027079], [118.783594, 32.027088], [118.783358, 32.027122], [118.783311, 32.027128], [118.78334, 32.027312]]]"
811,DIKUAI_2023_0874,0874,Polygon,EPSG:4326 (WGS84经纬度),46562.01,118.818786,118.820963,32.041923,32.044518,"[[[118.81957, 32.044518], [118.820819, 32.044431], [118.820963, 32.044414], [118.820915, 32.043931], [118.820849, 32.0433], [118.820807, 32.042904], [118.819782, 32.042987], [118.819669, 32.041923], [118.818786, 32.041987], [118.818865, 32.04268], [118.818935, 32.043304], [118.819448, 32.043261], [118.81957, 32.044518]]]"
812,DIKUAI_2023_0875,0875,Polygon,EPSG:4326 (WGS84经纬度),1734.75,118.791303,118.792036,32.033369,32.033661,"[[[118.791504, 32.033661], [118.792036, 32.03354], [118.792022, 32.033498], [118.791996, 32.033401], [118.791993, 32.033394], [118.79199, 32.033388], [118.791984, 32.033382], [118.791978, 32.033378], [118.791971, 32.033374], [118.791964, 32.033371], [118.791956, 32.033369], [118.791947, 32.033369], [118.791303, 32.033514], [118.791355, 32.033627], [118.791385, 32.033618], [118.791481, 32.033596], [118.791504, 32.033661]]]"
813,DIKUAI_2023_0876,0876,Polygon,EPSG:4326 (WGS84经纬度),11964.44,118.792036,118.792983,32.033259,32.034881,"[[[118.792448, 32.034881], [118.792983, 32.034756], [118.792914, 32.034547], [118.792823, 32.034271], [118.79272, 32.033956], [118.792621, 32.033679], [118.79256, 32.033505], [118.792504, 32.033351], [118.792479, 32.03327], [118.792477, 32.033267], [118.792475, 32.033265], [118.792472, 32.033263], [118.792469, 32.033261], [118.792465, 32.03326], [118.792462, 32.033259], [118.792458, 32.033259], [118.792454, 32.033259], [118.792065, 32.03334], [118.792058, 32.033344], [118.792052, 32.033348], [118.792047, 32.033353], [118.792042, 32.033359], [118.792039, 32.033365], [118.792037, 32.033371], [118.792036, 32.033378], [118.792049, 32.033431], [118.792113, 32.033722], [118.792151, 32.033878], [118.792152, 32.033878], [118.792162, 32.033917], [118.792185, 32.034003], [118.792225, 32.034137], [118.792291, 32.034363], [118.792366, 32.034613], [118.792444, 32.034868], [118.792448, 32.034881]]]"
814,DIKUAI_2023_0877,0877,Polygon,EPSG:4326 (WGS84经纬度),4095.91,118.779026,118.779581,32.022559,32.023607,"[[[118.779282, 32.023607], [118.77947, 32.02357], [118.779581, 32.023548], [118.779274, 32.022617], [118.779174, 32.022645], [118.779141, 32.022559], [118.779111, 32.022568], [118.779091, 32.022575], [118.779073, 32.022585], [118.779058, 32.022598], [118.779045, 32.022613], [118.779035, 32.022629], [118.779029, 32.022646], [118.779026, 32.022665], [118.779027, 32.022683], [118.779032, 32.022701], [118.77904, 32.022718], [118.779282, 32.023607]]]"
815,DIKUAI_2023_0878,0878,Polygon,EPSG:4326 (WGS84经纬度),3075.07,118.793049,118.793981,32.034582,32.035016,"[[[118.793049, 32.034791], [118.793114, 32.035016], [118.793981, 32.034811], [118.793919, 32.034582], [118.793049, 32.034791]]]"
816,DIKUAI_2023_0879,0879,Polygon,EPSG:4326 (WGS84经纬度),5595.72,118.787925,118.789663,32.03149,32.032019,"[[[118.78945, 32.031797], [118.789663, 32.031747], [118.789641, 32.031685], [118.789624, 32.031643], [118.789573, 32.031582], [118.789544, 32.031554], [118.78949, 32.031524], [118.789403, 32.031495], [118.789387, 32.031492], [118.789371, 32.03149], [118.789354, 32.031491], [118.789337, 32.031494], [118.78903, 32.031559], [118.788846, 32.031596], [118.788334, 32.031712], [118.787997, 32.031791], [118.787925, 32.031809], [118.787991, 32.032019], [118.789334, 32.031715], [118.78945, 32.031797]]]"
817,DIKUAI_2023_0880,0880,Polygon,EPSG:4326 (WGS84经纬度),17573.47,118.798145,118.79952,32.037035,32.038169,"[[[118.79952, 32.038088], [118.799451, 32.037035], [118.79886, 32.037035], [118.79888, 32.037218], [118.798145, 32.037319], [118.798156, 32.037366], [118.798281, 32.037785], [118.798397, 32.038169], [118.79952, 32.038088]]]"
818,DIKUAI_2023_0881,0881,Polygon,EPSG:4326 (WGS84经纬度),26557.34,118.779408,118.78132,32.023679,32.025005,"[[[118.77988, 32.025005], [118.780437, 32.024946], [118.781292, 32.024921], [118.781312, 32.024922], [118.781319, 32.024877], [118.78132, 32.024833], [118.781319, 32.024812], [118.781316, 32.024761], [118.781302, 32.02474], [118.781279, 32.024677], [118.781263, 32.024644], [118.781258, 32.024631], [118.781218, 32.024518], [118.781177, 32.024384], [118.781125, 32.024221], [118.78108, 32.024086], [118.781031, 32.023942], [118.780979, 32.0238], [118.780936, 32.023684], [118.780924, 32.023679], [118.780691, 32.023737], [118.780636, 32.023752], [118.780508, 32.023788], [118.78038, 32.023819], [118.780148, 32.023878], [118.77953, 32.02401], [118.779471, 32.024023], [118.779452, 32.024035], [118.779434, 32.02405], [118.77942, 32.024068], [118.779408, 32.024086], [118.779613, 32.024779], [118.779638, 32.024825], [118.779675, 32.024871], [118.779719, 32.024912], [118.779768, 32.024949], [118.779822, 32.02498], [118.77988, 32.025005]]]"
